sample_name	filename	ATTRIBUTE_lcms_sampletype	lcms_batch	lcms_samplingmethod	lcms_sampletype	lcms_extractionmethod	emp500_study_id	emp500_title	emp500_principal_investigator	tier	barcode_prefix	study_sample_number	sample_name_plus_plate	metab_id_2017	sampling_materials	sampling_method	environmental_package	physical_specimen_institution	env_biome	env_feature	env_material	empo_1	empo_2	empo_3	sample_type	taxon_id	scientific_name	host_taxid	host_common_name	host_scientific_name	geo_loc_name	latitude	longitude	elevation	aliquots_remaining	pnnl_gcms_raw_dataset_name	metabo_v2_filename_2019	metabo_v2_batch	metabo_v2_position	metabo_v2_extraction_protocol	metabo_v2_sampletype	metabo_v2_sampletype_sub
2C6_4_8_rohwer-85-s009-a03.mzML	2C6_4_8_rohwer-85-s009-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s009	9	3.Rohwer85.deep.sediment.AP9	P3_EMP_9	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C6_4_8_rohwer-85-s009-a03.mzML	2.0	2C6	Bulk_201901_UCSD	Sample	Bulk
2C4_4_6_rohwer-85-s010-a03.mzML	2C4_4_6_rohwer-85-s010-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s010	10	4.Rohwer85.deep.sediment.AP10	P4_EMP_57	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C4_4_6_rohwer-85-s010-a03.mzML	2.0	2C4	Bulk_201901_UCSD	Sample	Bulk
2C5_4_7_rohwer-85-s011-a03.mzML	2C5_4_7_rohwer-85-s011-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s011	11	5.Rohwer85.deep.sediment.AP11	P5_EMP_37	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C5_4_7_rohwer-85-s011-a03.mzML	2.0	2C5	Bulk_201901_UCSD	Sample	Bulk
2D1_4_29_rohwer-85-s012-a03.mzML	2D1_4_29_rohwer-85-s012-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s012	12	2.Rohwer85.deep.sediment.AP12	P2_EMP_76	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	6	Not applicable	2D1_4_29_rohwer-85-s012-a03.mzML	2.0	2D1	Bulk_201901_UCSD	Sample	Bulk
2D7_4_62_rohwer-85-s013-a03.mzML	2D7_4_62_rohwer-85-s013-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s013	13	3.Rohwer85.deep.sediment.AP13	P3_EMP_52	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	6	Not applicable	2D7_4_62_rohwer-85-s013-a03.mzML	2.0	2D7	Bulk_201901_UCSD	Sample	Bulk
2D8_4_65_rohwer-85-s014-a03.mzML	2D8_4_65_rohwer-85-s014-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s014	14	4.Rohwer85.deep.sediment.AP14	P4_EMP_36	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	6	Not applicable	2D8_4_65_rohwer-85-s014-a03.mzML	2.0	2D8	Bulk_201901_UCSD	Sample	Bulk
2D10_4_79_rohwer-85-s015-a03.mzML	2D10_4_79_rohwer-85-s015-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s015	15	3.Rohwer85.deep.sediment.AP15	P3_EMP_85	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2D10_4_79_rohwer-85-s015-a03.mzML	2.0	2D10	Bulk_201901_UCSD	Sample	Bulk
2D9_4_73_rohwer-85-s016-a03.mzML	2D9_4_73_rohwer-85-s016-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s016	16	4.Rohwer85.deep.sediment.AP16	P4_EMP_62	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	7	Not applicable	2D9_4_73_rohwer-85-s016-a03.mzML	2.0	2D9	Bulk_201901_UCSD	Sample	Bulk
2C7_4_9_rohwer-85-s017-a03.mzML	2C7_4_9_rohwer-85-s017-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s017	17	5.Rohwer85.deep.sediment.AP17	P5_EMP_82	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C7_4_9_rohwer-85-s017-a03.mzML	2.0	2C7	Bulk_201901_UCSD	Sample	Bulk
2C3_4_3_rohwer-85-s018-a03.mzML	2C3_4_3_rohwer-85-s018-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s018	18	2.Rohwer85.deep.sediment.AP18	P2_EMP_69	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C3_4_3_rohwer-85-s018-a03.mzML	2.0	2C3	Bulk_201901_UCSD	Sample	Bulk
2C10_4_15_rohwer-85-s019-a03.mzML	2C10_4_15_rohwer-85-s019-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s019	19	3.Rohwer85.deep.sediment.AP19	P3_EMP_5	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C10_4_15_rohwer-85-s019-a03.mzML	2.0	2C10	Bulk_201901_UCSD	Sample	Bulk
2C12_4_21_rohwer-85-s020-a03.mzML	2C12_4_21_rohwer-85-s020-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s020	20	4.Rohwer85.deep.sediment.AP20	P4_EMP_88	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Atlantic Ocean:Northeast Atlantic Ocean:Iberian Abyssal Plain 	46.68323333	-11.6042	0	5	Not applicable	2C12_4_21_rohwer-85-s020-a03.mzML	2.0	2C12	Bulk_201901_UCSD	Sample	Bulk
2D2_4_33_rohwer-85-s021-a04.mzML	2D2_4_33_rohwer-85-s021-a04.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	1	rohwer.85.s021	21	5.Rohwer85.deep.sediment.GB1	P5_EMP_81	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	7	Not applicable	2D2_4_33_rohwer-85-s021-a04.mzML	2.0	2D2	Bulk_201901_UCSD	Sample	Bulk
2D6_4_47_rohwer-85-s022-a04.mzML	2D6_4_47_rohwer-85-s022-a04.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	1	rohwer.85.s022	22	2.Rohwer85.deep.sediment.GB2	P2_EMP_80	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	6	Not applicable	2D6_4_47_rohwer-85-s022-a04.mzML	2.0	2D6	Bulk_201901_UCSD	Sample	Bulk
2C2_4_2_rohwer-85-s023-a04.mzML	2C2_4_2_rohwer-85-s023-a04.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	1	rohwer.85.s023	23	3.Rohwer85.deep.sediment.GB3	P3_EMP_94	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	7	Not applicable	2C2_4_2_rohwer-85-s023-a04.mzML	2.0	2C2	Bulk_201901_UCSD	Sample	Bulk
2D4_4_44_rohwer-85-s024-a04.mzML	2D4_4_44_rohwer-85-s024-a04.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	1	rohwer.85.s024	24	4.Rohwer85.deep.sediment.GB4	P4_EMP_23	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	6	Not applicable	2D4_4_44_rohwer-85-s024-a04.mzML	2.0	2D4	Bulk_201901_UCSD	Sample	Bulk
2C11_4_19_rohwer-85-s025-a03.mzML	2C11_4_19_rohwer-85-s025-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s025	25	5.Rohwer85.deep.sediment.GB5	P5_EMP_14	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	7	Not applicable	2C11_4_19_rohwer-85-s025-a03.mzML	2.0	2C11	Bulk_201901_UCSD	Sample	Bulk
2D3_4_34_rohwer-85-s026-a03.mzML	2D3_4_34_rohwer-85-s026-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s026	26	2.Rohwer85.deep.sediment.GB6	P2_EMP_43	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	7	Not applicable	2D3_4_34_rohwer-85-s026-a03.mzML	2.0	2D3	Bulk_201901_UCSD	Sample	Bulk
2C9_4_13_rohwer-85-s027-a03.mzML	2C9_4_13_rohwer-85-s027-a03.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	85	Iberia and Guatemala deep-sea sediments	Rohwer	2	rohwer.85.s027	27	3.Rohwer85.deep.sediment.GB7	P3_EMP_24	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	6.7365	-91.93433333	0	7	Not applicable	2C9_4_13_rohwer-85-s027-a03.mzML	2.0	2C9	Bulk_201901_UCSD	Sample	Bulk
2D11_5_4_rohwer-86-s002-a04.mzML	2D11_5_4_rohwer-86-s002-a04.mzML	Sample	2	Filter_201901_UCSD	Sample	SPE	86	Mexico microbial mats	Rohwer	Not applicable	rohwer.86.s002	2	5.Rohwer86.sediment.BBS1	P5_EMP_47	NaN	bulk	sediment	UCSD	marine benthic biome	marine benthic feature	sediment	Free-living	Saline	Sediment (saline)	sediment	412755.0	sediment metagenome	Not applicable	Not applicable	Not applicable	Mexico:State of Coahuila de Zaragoza:Cuatro Cienegas Basin:Pozas Azules II	26.91666667	-102.1	0	7	Not applicable	2D11_5_4_rohwer-86-s002-a04.mzML	2.0	2D11	Bulk_201901_UCSD	Sample	Bulk
3A12_SPE_Blank.mzML	3A12_SPE_Blank.mzML	Blank	3	Not applicable	Blank	SPE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3A5_Blank.mzML	3A5_Blank.mzML	Blank	3	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3B10_Blank.mzML	3B10_Blank.mzML	Blank	3	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3D5_Blank.mzML	3D5_Blank.mzML	Blank	3	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3E10_SPE_Blank.mzML	3E10_SPE_Blank.mzML	Blank	3	Not applicable	Blank	SPE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3H3_Blank_20190211072122.mzML	3H3_Blank_20190211072122.mzML	Blank	3	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3H3_Blank.mzML	3H3_Blank.mzML	Blank	3	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3H8_7_58_zaneveld-9-s010-a04.mzML	3H8_7_58_zaneveld-9-s010-a04.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	9	Scleractinian corals	Zaneveld	1	zaneveld.9.s010	10	2.Zaneveld9.10.E11.10.Poc.dami.1.20150502.T	P2_EMP_77	NaN	fractionated	host-associated	UCSD	marine reef biome	coral reef	organic material	Host-associated	Animal	Animal secretion	coral tissue	496922.0	coral metagenome	46731	cauliflower coral	Pocillopora damicornis	Panama	8.6274667	-79.0547583	0	7	Not applicable	3H8_7_58_zaneveld-9-s010-a04.mzML	3.0	3H8	Bulk_201901_UCSD	Sample	Bulk
3H6_7_56_zaneveld-9-s019-a04.mzML	3H6_7_56_zaneveld-9-s019-a04.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	9	Scleractinian corals	Zaneveld	1	zaneveld.9.s019	19	5.Zaneveld9.19.E7.3.Por.loba.2.20150619.M	P5_EMP_4	NaN	fractionated	host-associated	UCSD	marine reef biome	coral reef	mucus	Host-associated	Animal	Animal secretion	coral mucus	496922.0	coral metagenome	104759	stony corals	Porites lobata	Australia	-23.205	113.7680556	0	5	Not applicable	3H6_7_56_zaneveld-9-s019-a04.mzML	3.0	3H6	Bulk_201901_UCSD	Sample	Bulk
3H2_7_49_zaneveld-9-s021-a03.mzML	3H2_7_49_zaneveld-9-s021-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	9	Scleractinian corals	Zaneveld	2	zaneveld.9.s021	21	3.Zaneveld9.21.E7.Water.1.20150621.H2O	P3_EMP_77	NaN	fractionated	host-associated	UCSD	marine reef biome	coral reef	sea water	Free-living	Saline	Water (saline)	seawater	1561972.0	seawater metagenome	None	None	None	Australia	-23.140369	113.769166	0	5	Not applicable	3H2_7_49_zaneveld-9-s021-a03.mzML	3.0	3H2	Bulk_201901_UCSD	Sample	Bulk
3H1_7_17_zaneveld-9-s022-a03.mzML	3H1_7_17_zaneveld-9-s022-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	9	Scleractinian corals	Zaneveld	2	zaneveld.9.s022	22	4.Zaneveld9.22.E11.Water.1.20150502.H2O	P4_EMP_68	NaN	fractionated	host-associated	UCSD	marine reef biome	coral reef	sea water	Free-living	Saline	Water (saline)	seawater	1561972.0	seawater metagenome	None	None	None	Panama	8.6288111	-79.0417556	0	5	Not applicable	3H1_7_17_zaneveld-9-s022-a03.mzML	3.0	3H1	Bulk_201901_UCSD	Sample	Bulk
3H7_7_57_thomas-18-s009-a04.mzML	3H7_7_57_thomas-18-s009-a04.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	18	Ocean sponges	Thomas	1	thomas.18.s009	9	2.Thomas18.CLI2bac	P2_EMP_50	Quality Scientific Plastics (QSP) 1.5-mL canonical screw cap microfuge tubes (DNAse and RNAse free), Cat no. 515, Lot no. 11020481	fractionated	host-associated	UCSD	marine coral reef biome	marine benthic feature	organic material	Host-associated	Animal	Animal corpus	sponge tissue	1163772.0	sponge metagenome	281731	Not applicable	Cliona orientalis	Australia:Queensland:Great Barrier Reef:Davies Reef	-18.822567	147.63755	0	5	Not applicable	3H7_7_57_thomas-18-s009-a04.mzML	3.0	3H7	Bulk_201901_UCSD	Sample	Bulk
3H9_7_59_thomas-18-s010-a03.mzML	3H9_7_59_thomas-18-s010-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	18	Ocean sponges	Thomas	2	thomas.18.s010	10	3.Thomas18.CLI3bac	P3_EMP_33	Quality Scientific Plastics (QSP) 1.5-mL canonical screw cap microfuge tubes (DNAse and RNAse free), Cat no. 515, Lot no. 11020481	fractionated	host-associated	UCSD	marine coral reef biome	marine benthic feature	organic material	Host-associated	Animal	Animal corpus	sponge tissue	1163772.0	sponge metagenome	281731	Not applicable	Cliona orientalis	Australia:Queensland:Great Barrier Reef:Davies Reef	-18.822567	147.63755	0	6	Not applicable	3H9_7_59_thomas-18-s010-a03.mzML	3.0	3H9	Bulk_201901_UCSD	Sample	Bulk
3H4_7_53_thomas-18-s011-a03.mzML	3H4_7_53_thomas-18-s011-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	18	Ocean sponges	Thomas	3	thomas.18.s011	11	7.Thomas18.CLI4bac	Not applicable	Quality Scientific Plastics (QSP) 1.5-mL canonical screw cap microfuge tubes (DNAse and RNAse free), Cat no. 515, Lot no. 11020481	fractionated	host-associated	UCSD	marine coral reef biome	marine benthic feature	organic material	Host-associated	Animal	Animal corpus	sponge tissue	1163772.0	sponge metagenome	281731	Not applicable	Cliona orientalis	Australia:Queensland:Great Barrier Reef:Davies Reef	-18.822567	147.63755	0	4	Not applicable	3H4_7_53_thomas-18-s011-a03.mzML	3.0	3H4	Bulk_201901_UCSD	Sample	Bulk
3H5_7_54_thomas-18-s021-a03.mzML	3H5_7_54_thomas-18-s021-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	18	Ocean sponges	Thomas	2	thomas.18.s021	21	1.Thomas18.PER1bac	Not applicable	Quality Scientific Plastics (QSP) 1.5-mL canonical screw cap microfuge tubes (DNAse and RNAse free), Cat no. 515, Lot no. 11020481	fractionated	host-associated	UCSD	marine coral reef biome	marine benthic feature	organic material	Host-associated	Animal	Animal corpus	sponge tissue	1163772.0	sponge metagenome	197030	Not applicable	Pericharax heteroaphis	Australia:Queensland:Great Barrier Reef:Davies Reef	-18.822567	147.63755	0	4	Not applicable	3H5_7_54_thomas-18-s021-a03.mzML	3.0	3H5	Bulk_201901_UCSD	Sample	Bulk
3A2_3_53_mcmahon-21-s008-a03.mzML	3A2_3_53_mcmahon-21-s008-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	21	Bioreactors for wastewater and anammox	McMahon	1	mcmahon.21.s008	8	1.McMahon21.EBPR.R3.AERf	Not applicable	NaN	bulk	wastewater/sludge	UCSD	wastewater biome	bioreactor	biomass	Free-living	Non-saline	Water (non-saline)	bioreactor biomass	942017.0	activated sludge metagenome	Not applicable	Not applicable	Not applicable	UCSD Knight Lab Freezer I and USA, Wisconsin, Madison, University of Wisconsin-Madison	43.078418	-89.386482	Not applicable	5	Not applicable	3A2_3_53_mcmahon-21-s008-a03.mzML	3.0	3A2	Bulk_201901_UCSD	Sample	Bulk
3A3_3_73_mcmahon-21-s009-a03.mzML	3A3_3_73_mcmahon-21-s009-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	21	Bioreactors for wastewater and anammox	McMahon	1	mcmahon.21.s009	9	1.McMahon21.EBPR.R3.AERi	Not applicable	NaN	bulk	wastewater/sludge	UCSD	wastewater biome	bioreactor	biomass	Free-living	Non-saline	Water (non-saline)	bioreactor biomass	942017.0	activated sludge metagenome	Not applicable	Not applicable	Not applicable	UCSD Knight Lab Freezer I and USA, Wisconsin, Madison, University of Wisconsin-Madison	43.078418	-89.386482	Not applicable	5	Not applicable	3A3_3_73_mcmahon-21-s009-a03.mzML	3.0	3A3	Bulk_201901_UCSD	Sample	Bulk
3A1_3_34_mcmahon-21-s010-a03.mzML	3A1_3_34_mcmahon-21-s010-a03.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	21	Bioreactors for wastewater and anammox	McMahon	1	mcmahon.21.s010	10	1.McMahon21.EBPR.R3.ANA	Not applicable	NaN	bulk	wastewater/sludge	UCSD	wastewater biome	bioreactor	biomass	Free-living	Non-saline	Water (non-saline)	bioreactor biomass	942017.0	activated sludge metagenome	Not applicable	Not applicable	Not applicable	UCSD Knight Lab Freezer I and USA, Wisconsin, Madison, University of Wisconsin-Madison	43.078418	-89.386482	Not applicable	5	Not applicable	3A1_3_34_mcmahon-21-s010-a03.mzML	3.0	3A1	Bulk_201901_UCSD	Sample	Bulk
3D12_6_41_palenik-42-s001-a02.mzML	3D12_6_41_palenik-42-s001-a02.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	42	San Diego seawater	Palenik	1	palenik.42.s001	1	1.Palenik42.Seawater.1	Not applicable	NaN	filter	water	UCSD	neritic epipelagic zone biome	ocean	sea water	Free-living	Saline	Water (saline)	seawater	408172.0	marine metagenome	Not applicable	Not applicable	Not applicable	North Pacific Ocean:North East Pacific Ocean coastal waters of California:Scripps Canyon	32.867225	-117.257596	0	2	Not applicable	3D12_6_41_palenik-42-s001-a02.mzML	3.0	3D12	Filter_201901_UCSD	Sample	Filter
3D2_6_32_palenik-42-s002-a02.mzML	3D2_6_32_palenik-42-s002-a02.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	42	San Diego seawater	Palenik	1	palenik.42.s002	2	3.Palenik42.Seawater.2	P3_EMP_13	NaN	filter	water	UCSD	neritic epipelagic zone biome	ocean	sea water	Free-living	Saline	Water (saline)	seawater	408172.0	marine metagenome	Not applicable	Not applicable	Not applicable	North Pacific Ocean:North East Pacific Ocean coastal waters of California:Scripps Canyon	32.867225	-117.257596	0	0	Not applicable	3D2_6_32_palenik-42-s002-a02.mzML	3.0	3D2	Filter_201901_UCSD	Sample	Filter
3B12_6_18_palenik-42-s003-a02.mzML	3B12_6_18_palenik-42-s003-a02.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	42	San Diego seawater	Palenik	1	palenik.42.s003	3	1.Palenik42.Seawater.3	Not applicable	NaN	filter	water	UCSD	neritic epipelagic zone biome	ocean	sea water	Free-living	Saline	Water (saline)	seawater	408172.0	marine metagenome	Not applicable	Not applicable	Not applicable	North Pacific Ocean:North East Pacific Ocean coastal waters of California:Scripps Canyon	32.867225	-117.257596	0	2	Not applicable	3B12_6_18_palenik-42-s003-a02.mzML	3.0	3B12	Filter_201901_UCSD	Sample	Filter
3B5_6_12_palenik-42-s004-a02.mzML	3B5_6_12_palenik-42-s004-a02.mzML	Sample	3	Filter_201901_UCSD	Sample	SPE	42	San Diego seawater	Palenik	1	palenik.42.s004	4	1.Palenik42.Seawater.4	Not applicable	NaN	filter	water	UCSD	neritic epipelagic zone biome	ocean	sea water	Free-living	Saline	Water (saline)	seawater	408172.0	marine metagenome	Not applicable	Not applicable	Not applicable	North Pacific Ocean:North East Pacific Ocean coastal waters of California:Scripps Canyon	32.867225	-117.257596	0	2	Not applicable	3B5_6_12_palenik-42-s004-a02.mzML	3.0	3B5	Filter_201901_UCSD	Sample	Filter
